year,noc,athletes
1896,AUS,1
1896,AUT,3
1896,DEN,3
1896,FRA,12
1896,GBR,10
1896,GER,19
1896,GRE,102
1896,HUN,7
1896,ITA,1
1896,SUI,3
1896,SWE,1
1896,USA,14
1900,ARG,1
1900,AUS,2
1900,AUT,16
1900,BEL,64
1900,BOH,7
1900,BRA,1
1900,CAN,4
1900,COL,1
1900,CUB,1
1900,DEN,13
1900,ESP,9
1900,FRA,720
1900,GBR,104
1900,GER,76
1900,GRE,3
1900,HAI,3
1900,HUN,18
1900,IND,1
1900,IRI,1
1900,ITA,23
1900,LUX,1
1900,MEX,3
1900,NED,35
1900,NOR,7
1900,NZL,1
1900,PER,1
1900,ROU,1
1900,RUS,4
1900,SUI,18
1900,SWE,10
1900,USA,75
1904,AUS,2
1904,AUT,2
1904,CAN,56
1904,CUB,3
1904,FRA,1
1904,GBR,6
1904,GER,22
1904,GRE,14
1904,HUN,4
1904,ITA,1
1904,NFL,1
1904,NOR,3
1904,RSA,8
1904,SUI,3
1904,USA,524
1906,AUS,4
1906,AUT,31
1906,BEL,16
1906,BOH,13
1906,CAN,3
1906,CRT,8
1906,DEN,49
1906,EGY,2
1906,FIN,4
1906,FRA,56
1906,GBR,48
1906,GER,49
1906,GRE,312
1906,HUN,35
1906,ITA,76
1906,NED,16
1906,NOR,32
1906,SUI,9
1906,SWE,39
1906,TUR,1
1906,USA,38
1908,ANZ,30
1908,ARG,1
1908,AUT,7
1908,BEL,70
1908,BOH,19
1908,CAN,87
1908,DEN,78
1908,FIN,62
1908,FRA,208
1908,GBR,735
1908,GER,82
1908,GRE,20
1908,HUN,65
1908,ISL,1
1908,ITA,66
1908,NED,113
1908,NOR,69
1908,RSA,14
1908,RUS,6
1908,SUI,1
1908,SWE,168
1908,USA,122
1912,ANZ,25
1912,AUT,85
1912,BEL,36
1912,BOH,43
1912,CAN,37
1912,CHI,14
1912,DEN,152
1912,FIN,164
1912,FRA,119
1912,GBR,274
1912,GER,185
1912,GRE,22
1912,HUN,121
1912,ISL,2
1912,ITA,66
1912,JPN,2
1912,LUX,21
1912,NED,33
1912,NOR,190
1912,POL,1
1912,POR,6
1912,RSA,21
1912,RUS,159
1912,SRB,2
1912,SUI,7
1912,SWE,444
1912,TUR,2
1912,UNK,2
1912,USA,174
1920,ARG,1
1920,AUS,13
1920,BEL,336
1920,BRA,19
1920,CAN,52
1920,CHI,2
1920,DEN,154
1920,EGY,18
1920,ESP,58
1920,EST,14
1920,FIN,63
1920,FRA,304
1920,GBR,234
1920,GRE,47
1920,IND,5
1920,ITA,174
1920,JPN,15
1920,LUX,25
1920,MON,4
1920,NED,130
1920,NOR,193
1920,NZL,4
1920,POR,13
1920,RSA,39
1920,SUI,77
1920,SWE,260
1920,TCH,119
1920,USA,288
1920,YUG,15
1924,ARG,77
1924,AUS,37
1924,AUT,53
1924,BEL,190
1924,BRA,12
1924,BUL,24
1924,CAN,77
1924,CHI,13
1924,CUB,9
1924,DEN,89
1924,ECU,3
1924,EGY,24
1924,ESP,95
1924,EST,37
1924,FIN,136
1924,FRA,444
1924,GBR,311
1924,GRE,39
1924,HAI,8
1924,HUN,93
1924,IND,20
1924,IRL,48
1924,ITA,223
1924,JPN,19
1924,LAT,37
1924,LTU,13
1924,LUX,48
1924,MEX,15
1924,MON,7
1924,NED,177
1924,NEP,1
1924,NOR,76
1924,NZL,4
1924,PHI,1
1924,POL,72
1924,POR,28
1924,ROU,35
1924,RSA,30
1924,RUS,3
1924,SUI,170
1924,SWE,190
1924,TCH,160
1924,TUR,22
1924,URU,26
1924,USA,323
1924,YUG,46
1928,ARG,91
1928,AUS,18
1928,AUT,111
1928,BEL,211
1928,BUL,5
1928,CAN,92
1928,CHI,38
1928,CUB,1
1928,DEN,91
1928,EGY,32
1928,ESP,80
1928,EST,22
1928,FIN,87
1928,FRA,293
1928,GBR,264
1928,GER,339
1928,GRE,23
1928,HAI,2
1928,HUN,121
1928,IND,21
1928,IRL,38
1928,ITA,187
1928,JPN,46
1928,LAT,18
1928,LTU,13
1928,LUX,53
1928,MEX,35
1928,MLT,9
1928,MON,10
1928,NED,273
1928,NOR,76
1928,NZL,9
1928,PAN,1
1928,PHI,4
1928,POL,117
1928,POR,32
1928,ROU,31
1928,RSA,24
1928,SUI,173
1928,SWE,124
1928,TCH,94
1928,TUR,31
1928,URU,17
1928,USA,304
1928,YUG,40
1928,ZIM,2
1932,ARG,33
1932,AUS,13
1932,AUT,26
1932,BEL,41
1932,BRA,59
1932,BUL,2
1932,CAN,144
1932,CHN,1
1932,COL,2
1932,CUB,3
1932,DEN,43
1932,ESA,1
1932,ESP,7
1932,EST,2
1932,FIN,47
1932,FRA,111
1932,GBR,111
1932,GER,165
1932,GRE,10
1932,GUA,1
1932,HAI,3
1932,HUN,62
1932,IND,19
1932,IRL,16
1932,ITA,124
1932,JPN,173
1932,LAT,5
1932,LUX,3
1932,MEX,73
1932,MON,1
1932,NED,46
1932,NOR,26
1932,NZL,21
1932,PER,2
1932,PHI,8
1932,POL,66
1932,POR,6
1932,ROU,5
1932,RSA,12
1932,SUI,14
1932,SWE,93
1932,TCH,31
1932,TUR,1
1932,URU,2
1932,USA,538
1932,VEN,1
1932,YUG,1
1936,AFG,15
1936,ARG,51
1936,AUS,33
1936,AUT,292
1936,BEL,176
1936,BER,5
1936,BOL,2
1936,BRA,73
1936,BUL,33
1936,CAN,126
1936,CHI,40
1936,CHN,54
1936,COL,5
1936,CRC,1
1936,DEN,121
1936,EGY,53
1936,ESP,6
1936,EST,38
1936,FIN,127
1936,FRA,229
1936,GBR,245
1936,GER,488
1936,GRE,42
1936,HUN,238
1936,IND,27
1936,ISL,12
1936,ITA,284
1936,JPN,251
1936,LAT,55
1936,LIE,10
1936,LUX,53
1936,MEX,32
1936,MLT,11
1936,MON,8
1936,NED,173
1936,NOR,100
1936,NZL,7
1936,PER,40
1936,PHI,28
1936,POL,164
1936,POR,19
1936,ROU,68
1936,RSA,32
1936,SUI,224
1936,SWE,202
1936,TCH,234
1936,TUR,54
1936,URU,37
1936,USA,414
1936,YUG,110
1948,AFG,25
1948,ARG,208
1948,AUS,75
1948,AUT,201
1948,BEL,163
1948,BER,12
1948,BRA,70
1948,BUL,4
1948,CAN,155
1948,CHI,58
1948,CHN,31
1948,COL,6
1948,CUB,53
1948,DEN,164
1948,EGY,85
1948,ESP,71
1948,FIN,153
1948,FRA,352
1948,GBR,462
1948,GRE,62
1948,GUY,4
1948,HUN,150
1948,IND,79
1948,IRI,36
1948,IRL,73
1948,IRQ,11
1948,ISL,24
1948,ITA,269
1948,JAM,13
1948,KOR,49
1948,LIB,10
1948,LIE,12
1948,LUX,45
1948,MEX,88
1948,MLT,1
1948,MON,4
1948,MYA,4
1948,NED,153
1948,NOR,130
1948,NZL,7
1948,PAK,35
1948,PAN,1
1948,PER,41
1948,PHI,26
1948,POL,67
1948,POR,48
1948,PUR,9
1948,ROU,7
1948,RSA,35
1948,SGP,1
1948,SRI,7
1948,SUI,256
1948,SWE,223
1948,SYR,1
1948,TCH,134
1948,TTO,5
1948,TUR,62
1948,URU,61
1948,USA,369
1948,VEN,1
1948,YUG,107
1952,AHO,11
1952,ARG,135
1952,AUS,90
1952,AUT,150
1952,BAH,7
1952,BEL,144
1952,BER,6
1952,BRA,97
1952,BUL,73
1952,CAN,146
1952,CHI,62
1952,CHN,1
1952,CUB,29
1952,DEN,130
1952,EGY,106
1952,ESP,31
1952,FIN,307
1952,FRA,271
1952,GBR,275
1952,GER,258
1952,GHA,7
1952,GRE,51
1952,GUA,21
1952,GUY,1
1952,HKG,4
1952,HUN,201
1952,INA,3
1952,IND,64
1952,IRI,22
1952,IRL,19
1952,ISL,20
1952,ISR,25
1952,ITA,264
1952,JAM,8
1952,JPN,82
1952,KOR,19
1952,LIB,10
1952,LIE,2
1952,LUX,44
1952,MEX,64
1952,MON,8
1952,MYA,5
1952,NED,115
1952,NGR,9
1952,NOR,173
1952,NZL,17
1952,PAK,38
1952,PAN,1
1952,PHI,25
1952,POL,155
1952,POR,72
1952,PUR,21
1952,ROU,130
1952,RSA,64
1952,SAA,36
1952,SGP,5
1952,SRI,5
1952,SUI,212
1952,SWE,271
1952,TCH,121
1952,THA,8
1952,TTO,2
1952,TUR,51
1952,URS,295
1952,URU,32
1952,USA,352
1952,VEN,38
1952,VNM,8
1952,YUG,93
1956,AFG,12
1956,ARG,35
1956,AUS,306
1956,AUT,94
1956,BAH,4
1956,BEL,61
1956,BER,3
1956,BOL,1
1956,BRA,47
1956,BUL,54
1956,CAM,2
1956,CAN,131
1956,CHI,36
1956,COL,26
1956,CUB,16
1956,DEN,37
1956,EGY,3
1956,ESP,15
1956,ETH,12
1956,FIJ,5
1956,FIN,102
1956,FRA,177
1956,GBR,238
1956,GER,230
1956,GRE,16
1956,GUY,4
1956,HKG,2
1956,HUN,113
1956,INA,22
1956,IND,59
1956,IRI,20
1956,IRL,18
1956,ISL,9
1956,ISR,3
1956,ITA,200
1956,JAM,6
1956,JPN,122
1956,KEN,25
1956,KOR,39
1956,LBR,4
1956,LIB,3
1956,LIE,8
1956,LUX,11
1956,MAL,32
1956,MEX,24
1956,MYA,11
1956,NBO,2
1956,NED,9
1956,NGR,10
1956,NOR,67
1956,NZL,51
1956,PAK,55
1956,PER,8
1956,PHI,39
1956,POL,115
1956,POR,12
1956,PUR,10
1956,ROU,69
1956,RSA,50
1956,SGP,49
1956,SRI,3
1956,SUI,68
1956,SWE,155
1956,TCH,104
1956,THA,35
1956,TPE,20
1956,TTO,6
1956,TUR,23
1956,UGA,3
1956,URS,334
1956,URU,21
1956,USA,371
1956,VEN,22
1956,VNM,6
1956,YUG,52
1960,AFG,12
1960,AHO,5
1960,ARG,98
1960,AUS,219
1960,AUT,129
1960,BAH,13
1960,BEL,101
1960,BER,9
1960,BRA,72
1960,BUL,105
1960,CAN,129
1960,CHI,14
1960,COL,16
1960,CUB,12
1960,DEN,101
1960,ESP,148
1960,ETH,10
1960,FIJ,2
1960,FIN,165
1960,FRA,264
1960,GBR,270
1960,GER,368
1960,GHA,13
1960,GRE,48
1960,GUY,5
1960,HAI,1
1960,HKG,4
1960,HUN,187
1960,INA,22
1960,IND,45
1960,IRI,23
1960,IRL,49
1960,IRQ,21
1960,ISL,13
1960,ISR,23
1960,ITA,308
1960,JPN,203
1960,KEN,27
1960,KOR,42
1960,LBR,4
1960,LIB,21
1960,LIE,8
1960,LUX,52
1960,MAL,9
1960,MAR,47
1960,MEX,69
1960,MLT,10
1960,MON,11
1960,MYA,10
1960,NED,117
1960,NGR,12
1960,NOR,69
1960,NZL,41
1960,PAK,44
1960,PAN,6
1960,PER,31
1960,PHI,40
1960,POL,198
1960,POR,65
1960,PUR,27
1960,RHO,10
1960,ROU,98
1960,RSA,59
1960,SGP,5
1960,SMR,9
1960,SRI,5
1960,SUD,10
1960,SUI,170
1960,SWE,181
1960,TCH,137
1960,THA,20
1960,TPE,27
1960,TUN,42
1960,TUR,51
1960,UAR,74
1960,UGA,10
1960,URS,345
1960,URU,34
1960,USA,371
1960,VEN,36
1960,VNM,3
1960,WIF,13
1960,YUG,116
1960,ZIM,4
1964,AFG,8
1964,AHO,4
1964,ALG,1
1964,ARG,114
1964,AUS,248
1964,AUT,139
1964,BAH,11
1964,BEL,68
1964,BER,4
1964,BOL,1
1964,BRA,61
1964,BUL,70
1964,CAM,13
1964,CAN,170
1964,CGO,2
1964,CHA,2
1964,CHI,19
1964,CIV,9
1964,CMR,1
1964,COL,20
1964,CRC,2
1964,CUB,27
1964,DEN,62
1964,DOM,1
1964,EGY,73
1964,ESP,57
1964,ETH,12
1964,FIN,140
1964,FRA,162
1964,GBR,240
1964,GER,433
1964,GHA,33
1964,GRE,21
1964,GUY,1
1964,HKG,39
1964,HUN,210
1964,IND,54
1964,IRI,66
1964,IRL,25
1964,IRQ,13
1964,ISL,9
1964,ISR,10
1964,ITA,229
1964,JAM,21
1964,JPN,375
1964,KEN,37
1964,KOR,161
1964,LBR,1
1964,LIB,9
1964,LIE,8
1964,LUX,12
1964,MAD,3
1964,MAR,20
1964,MAS,61
1964,MEX,94
1964,MGL,34
1964,MLI,2
1964,MON,1
1964,MYA,11
1964,NED,131
1964,NEP,6
1964,NGR,18
1964,NIG,1
1964,NOR,84
1964,NZL,64
1964,PAK,41
1964,PAN,10
1964,PER,31
1964,PHI,47
1964,POL,191
1964,POR,20
1964,PRK,13
1964,PUR,32
1964,ROU,165
1964,SEN,12
1964,SRI,6
1964,SUI,138
1964,SWE,151
1964,TAN,4
1964,TCH,150
1964,THA,54
1964,TPE,40
1964,TTO,13
1964,TUN,9
1964,TUR,28
1964,UGA,13
1964,URS,386
1964,URU,23
1964,USA,436
1964,VEN,16
1964,VNM,16
1964,YUG,106
1964,ZAM,12
1964,ZIM,29
1968,AFG,5
1968,AHO,5
1968,ALG,3
1968,ARG,94
1968,AUS,131
1968,AUT,119
1968,BAH,16
1968,BAR,9
1968,BEL,82
1968,BER,6
1968,BIZ,7
1968,BOL,4
1968,BRA,76
1968,BUL,118
1968,CAF,1
1968,CAN,208
1968,CHA,3
1968,CHI,25
1968,CIV,10
1968,CMR,5
1968,COD,5
1968,COL,43
1968,CRC,18
1968,CUB,115
1968,DEN,67
1968,DOM,18
1968,ECU,15
1968,EGY,30
1968,ESA,60
1968,ESP,142
1968,ETH,18
1968,FIJ,1
1968,FIN,118
1968,FRA,275
1968,FRG,362
1968,GBR,263
1968,GDR,283
1968,GHA,31
1968,GRE,47
1968,GUA,48
1968,GUI,15
1968,GUY,5
1968,HKG,11
1968,HON,6
1968,HUN,177
1968,INA,6
1968,IND,26
1968,IRI,18
1968,IRL,31
1968,IRQ,3
1968,ISL,12
1968,ISR,29
1968,ISV,6
1968,ITA,214
1968,JAM,25
1968,JPN,232
1968,KEN,39
1968,KOR,62
1968,KUW,2
1968,LBA,1
1968,LIB,14
1968,LIE,11
1968,LUX,5
1968,MAD,4
1968,MAR,30
1968,MAS,31
1968,MEX,275
1968,MGL,23
1968,MLI,2
1968,MLT,1
1968,MON,2
1968,MYA,4
1968,NCA,11
1968,NED,116
1968,NGR,36
1968,NIG,2
1968,NOR,111
1968,NZL,58
1968,PAK,15
1968,PAN,16
1968,PAR,1
1968,PER,28
1968,PHI,49
1968,POL,208
1968,POR,20
1968,PUR,58
1968,ROU,112
1968,SEN,21
1968,SGP,4
1968,SLE,3
1968,SMR,4
1968,SRI,3
1968,SUD,5
1968,SUI,119
1968,SUR,1
1968,SWE,168
1968,SYR,2
1968,TAN,4
1968,TCH,169
1968,THA,41
1968,TPE,43
1968,TTO,19
1968,TUN,7
1968,TUR,40
1968,UGA,11
1968,URS,386
1968,URU,27
1968,USA,453
1968,VEN,23
1968,VNM,9
1968,YUG,99
1968,ZAM,7
1972,AFG,8
1972,AHO,2
1972,ALB,5
1972,ALG,5
1972,ARG,94
1972,AUS,172
1972,AUT,151
1972,BAH,20
1972,BAR,13
1972,BEL,89
1972,BEN,3
1972,BER,9
1972,BIZ,1
1972,BOL,11
1972,BRA,81
1972,BUL,134
1972,BUR,1
1972,CAM,9
1972,CAN,255
1972,CGO,6
1972,CHA,4
1972,CHI,11
1972,CIV,11
1972,CMR,11
1972,COL,59
1972,CRC,3
1972,CUB,137
1972,DEN,126
1972,DOM,5
1972,ECU,2
1972,EGY,23
1972,ESA,11
1972,ESP,126
1972,ETH,31
1972,FIJ,2
1972,FIN,146
1972,FRA,267
1972,FRG,502
1972,GAB,1
1972,GBR,321
1972,GDR,339
1972,GHA,35
1972,GRE,63
1972,GUA,8
1972,GUY,3
1972,HAI,7
1972,HKG,10
1972,HUN,233
1972,INA,6
1972,IND,41
1972,IRI,52
1972,IRL,59
1972,ISL,25
1972,ISR,14
1972,ISV,16
1972,ITA,268
1972,JAM,33
1972,JPN,269
1972,KEN,57
1972,KOR,47
1972,KSA,10
1972,KUW,4
1972,LBR,5
1972,LES,1
1972,LIB,20
1972,LIE,10
1972,LUX,11
1972,MAD,11
1972,MAR,35
1972,MAS,45
1972,MAW,16
1972,MEX,174
1972,MGL,43
1972,MLI,3
1972,MLT,5
1972,MON,5
1972,MYA,18
1972,NCA,8
1972,NED,130
1972,NEP,2
1972,NGR,25
1972,NIG,4
1972,NOR,179
1972,NZL,91
1972,PAK,25
1972,PAN,7
1972,PAR,3
1972,PER,20
1972,PHI,55
1972,POL,337
1972,POR,29
1972,PRK,43
1972,PUR,53
1972,ROU,172
1972,SEN,38
1972,SGP,7
1972,SMR,7
1972,SOM,3
1972,SRI,4
1972,SUD,26
1972,SUI,203
1972,SUR,2
1972,SWE,189
1972,SWZ,2
1972,SYR,5
1972,TAN,15
1972,TCH,222
1972,THA,33
1972,TOG,7
1972,TPE,26
1972,TTO,19
1972,TUN,35
1972,TUR,43
1972,UGA,33
1972,URS,447
1972,URU,13
1972,USA,503
1972,VEN,23
1972,VNM,2
1972,YUG,152
1972,ZAM,11
1976,AHO,4
1976,AND,8
1976,ANT,10
1976,ARG,77
1976,AUS,188
1976,AUT,137
1976,BAH,11
1976,BAR,11
1976,BEL,105
1976,BER,16
1976,BIZ,4
1976,BOL,4
1976,BRA,79
1976,BUL,187
1976,CAN,443
1976,CAY,2
1976,CHI,12
1976,CIV,8
1976,CMR,4
1976,COL,35
1976,CRC,5
1976,CUB,156
1976,DEN,66
1976,DOM,10
1976,ECU,5
1976,EGY,26
1976,ESP,117
1976,FIJ,2
1976,FIN,130
1976,FRA,241
1976,FRG,361
1976,GBR,284
1976,GDR,326
1976,GRE,40
1976,GUA,28
1976,HAI,13
1976,HKG,25
1976,HON,3
1976,HUN,181
1976,INA,7
1976,IND,26
1976,IRI,88
1976,IRL,44
1976,ISL,21
1976,ISR,26
1976,ISV,21
1976,ITA,268
1976,JAM,20
1976,JPN,271
1976,KOR,53
1976,KSA,14
1976,KUW,15
1976,LIB,4
1976,LIE,15
1976,LUX,8
1976,MAR,9
1976,MAS,23
1976,MEX,97
1976,MGL,32
1976,MON,8
1976,NCA,15
1976,NED,115
1976,NEP,1
1976,NOR,107
1976,NZL,85
1976,PAK,24
1976,PAN,8
1976,PAR,4
1976,PER,13
1976,PHI,14
1976,PNG,6
1976,POL,263
1976,POR,19
1976,PRK,38
1976,PUR,80
1976,ROU,189
1976,SEN,21
1976,SGP,4
1976,SMR,12
1976,SUI,109
1976,SUR,3
1976,SWE,155
1976,TCH,221
1976,THA,42
1976,TPE,6
1976,TTO,13
1976,TUN,15
1976,TUR,36
1976,URS,489
1976,URU,9
1976,USA,502
1976,VEN,32
1976,YUG,116
1980,AFG,11
1980,ALG,54
1980,AND,5
1980,ANG,11
1980,ARG,13
1980,AUS,129
1980,AUT,126
1980,BEL,61
1980,BEN,16
1980,BOL,3
1980,BOT,7
1980,BRA,106
1980,BUL,279
1980,CAN,59
1980,CGO,23
1980,CHN,24
1980,CMR,25
1980,COL,23
1980,CRC,30
1980,CUB,208
1980,CYP,17
1980,DEN,58
1980,DOM,6
1980,ECU,12
1980,ESP,163
1980,ETH,41
